	"output/RSEM/NGS128_S21.isoforms.results"	"output/RSEM/NGS130_S23.isoforms.results"
"CCDS49247.1|Mm108|chr13"	0.00	0.00
"CCDS40347.1|Mm108|chr8"	0.00	0.00
"CCDS80879.1|Mm108|chr8"	0.00	0.00
"CCDS85541.1|Mm108|chr8"	0.00	0.00
"CCDS85542.1|Mm108|chr8"	0.00	0.00
"CCDS15623.1|Mm108|chr1"	0.00	0.00
"CCDS23246.1|Mm108|chr9"	0.00	0.00
"CCDS90582.1|Mm108|chr9"	0.00	0.00
"CCDS17461.1|Mm108|chr3"	0.00	0.00
"CCDS28668.1|Mm108|chr17"	0.00	0.00
"CCDS29890.1|Mm108|chr19"	0.00	0.00
"CCDS50463.1|Mm108|chr19"	0.00	0.00
"CCDS16169.1|Mm108|chr2"	0.00	0.00
"CCDS25343.1|Mm108|chr11"	0.00	0.00
"CCDS26559.1|Mm108|chr13"	0.00	0.00
"CCDS25119.1|Mm108|chr11"	0.00	0.00
"CCDS24391.1|Mm108|chr11"	0.00	0.00
"CCDS56757.1|Mm108|chr11"	0.00	0.00
"CCDS29369.1|Mm108|chr18"	0.00	0.00
"CCDS37873.1|Mm108|chr18"	0.00	0.00
"CCDS50335.1|Mm108|chr18"	0.00	0.00
"CCDS50336.1|Mm108|chr18"	0.00	0.00
"CCDS89286.1|Mm108|chr18"	0.00	0.00
"CCDS89287.1|Mm108|chr18"	0.00	0.00
"CCDS17112.1|Mm108|chr2"	0.00	0.00
"CCDS17113.1|Mm108|chr2"	0.00	0.00
"CCDS17114.1|Mm108|chr2"	0.00	0.00
"CCDS50803.1|Mm108|chr2"	0.00	0.00
"CCDS71201.1|Mm108|chr2"	0.00	0.00
"CCDS21827.1|Mm108|chr7"	0.00	0.00
"CCDS22628.1|Mm108|chr8"	0.00	0.00
"CCDS90454.1|Mm108|chr8"	0.00	0.00
"CCDS27900.1|Mm108|chr15"	0.00	0.00
"CCDS25304.1|Mm108|chr11"	0.00	0.00
"CCDS48893.1|Mm108|chr11"	0.00	0.00
"CCDS48894.1|Mm108|chr11"	0.00	0.00
"CCDS16150.1|Mm108|chr2"	0.00	0.00
"CCDS20134.1|Mm108|chr6"	0.00	0.00
"CCDS18373.1|Mm108|chr4"	0.00	0.00
"CCDS51234.1|Mm108|chr4"	0.00	0.00
"CCDS38790.1|Mm108|chr4"	0.00	0.00
"CCDS51213.1|Mm108|chr4"	0.00	0.00
"CCDS24058.1|Mm108|chr10"	0.00	0.00
"CCDS35999.1|Mm108|chr10"	0.00	0.00
"CCDS26519.1|Mm108|chr13"	0.00	0.00
"CCDS40411.1|Mm108|chr8"	0.00	0.00
"CCDS40412.1|Mm108|chr8"	0.00	0.00
"CCDS40413.1|Mm108|chr8"	0.00	0.00
"CCDS80907.1|Mm108|chr8"	0.00	0.00
"CCDS17858.1|Mm108|chr3"	0.00	0.00
"CCDS29874.1|Mm108|chr19"	0.00	0.00
"CCDS25918.1|Mm108|chr12"	0.00	0.00
"CCDS21054.1|Mm108|chr7"	0.00	0.00
"CCDS28811.1|Mm108|chr17"	0.00	0.00
"CCDS89104.1|Mm108|chr17"	0.00	0.00
"CCDS28693.1|Mm108|chr17"	0.00	0.00
"CCDS27232.1|Mm108|chr14"	0.00	3.00
"CCDS27233.1|Mm108|chr14"	12954.00	3976.00
"CCDS16962.1|Mm108|chr2"	0.00	0.00
"CCDS28867.1|Mm108|chr17"	0.00	0.00
"CCDS50142.1|Mm108|chr17"	0.00	0.00
"CCDS84320.1|Mm108|chr17"	0.00	0.00
"CCDS84321.1|Mm108|chr17"	0.00	0.00
"CCDS89116.1|Mm108|chr17"	0.00	0.00
"CCDS48654.1|Mm108|chr10"	0.00	0.00
"CCDS18594.1|Mm108|chr4"	0.00	0.00
"CCDS21200.1|Mm108|chr7"	0.00	0.00
"CCDS17687.1|Mm108|chr3"	0.00	0.00
"CCDS51025.1|Mm108|chr3"	0.00	0.00
"CCDS21199.1|Mm108|chr7"	0.00	0.00
"CCDS25279.1|Mm108|chr11"	0.00	0.00
"CCDS23566.1|Mm108|chr9"	0.00	0.00
"CCDS15506.1|Mm108|chr1"	0.00	0.00
"CCDS17685.1|Mm108|chr3"	0.00	0.00
"CCDS26244.1|Mm108|chr13"	0.00	0.00
"CCDS36813.1|Mm108|chr14"	0.00	0.00
"CCDS36468.1|Mm108|chr12"	0.00	0.00
"CCDS36469.1|Mm108|chr12"	0.00	0.00
"CCDS26497.1|Mm108|chr13"	0.00	0.00
"CCDS24392.1|Mm108|chr11"	0.00	0.00
"CCDS23636.1|Mm108|chr9"	0.00	0.00
"CCDS16834.1|Mm108|chr2"	0.00	0.00
"CCDS38259.1|Mm108|chr2"	0.00	0.00
"CCDS29833.1|Mm108|chr19"	0.00	0.00
"CCDS28556.1|Mm108|chr17"	0.00	0.00
"CCDS56968.1|Mm108|chr14"	0.00	0.00
"CCDS25923.1|Mm108|chr12"	0.00	0.00
"CCDS27237.1|Mm108|chr14"	0.00	0.00
"CCDS19471.1|Mm108|chr5"	0.00	0.00
"CCDS25113.2|Mm108|chr11"	0.00	0.00
"CCDS28030.1|Mm108|chr16"	0.00	0.00
"CCDS23707.1|Mm108|chr10"	0.00	0.00
"CCDS25247.1|Mm108|chr11"	0.00	0.00
"CCDS25246.1|Mm108|chr11"	0.00	0.00
"CCDS40465.1|Mm108|chr8"	0.00	0.00
"CCDS26442.1|Mm108|chr13"	0.00	0.00
"CCDS88437.1|Mm108|chr13"	0.00	0.00
"CCDS35778.1|Mm108|chr1"	0.00	0.00
"CCDS25511.1|Mm108|chr11"	0.00	0.00
"CCDS15644.1|Mm108|chr2"	0.00	0.00
"CCDS70971.1|Mm108|chr2"	0.00	0.00
"CCDS70972.1|Mm108|chr2"	0.00	0.00
"CCDS25818.1|Mm108|chr12"	0.00	0.00
"CCDS38306.1|Mm108|chr2"	0.00	0.00
"CCDS38307.1|Mm108|chr2"	0.00	0.00
"CCDS71174.1|Mm108|chr2"	0.00	0.00
"CCDS71175.1|Mm108|chr2"	0.00	0.00
"CCDS79857.1|Mm108|chr2"	0.00	0.00
"CCDS23157.1|Mm108|chr9"	0.00	0.00
"CCDS80991.1|Mm108|chr9"	0.00	0.00
"CCDS35961.1|Mm108|chr10"	0.00	0.00
"CCDS84067.1|Mm108|chr13"	0.00	0.00
"CCDS22719.1|Mm108|chr8"	0.00	0.00
"CCDS23878.1|Mm108|chr10"	0.00	0.00
"CCDS29488.1|Mm108|chr19"	0.00	0.00
"CCDS25236.1|Mm108|chr11"	0.00	0.00
"CCDS18163.1|Mm108|chr4"	0.00	0.00
"CCDS19606.1|Mm108|chr5"	0.00	0.00
"CCDS25115.1|Mm108|chr11"	0.00	0.00
"CCDS19117.1|Mm108|chr5"	0.00	0.00
"CCDS15806.1|Mm108|chr2"	0.00	0.00
"CCDS51013.1|Mm108|chr3"	0.00	0.00
"CCDS27191.1|Mm108|chr14"	0.00	0.00
"CCDS28614.1|Mm108|chr17"	0.00	0.00
"CCDS28647.1|Mm108|chr17"	0.00	0.00
"CCDS27471.1|Mm108|chr15"	0.00	3.00
"CCDS20288.1|Mm108|chr6"	0.00	0.00
"CCDS51823.1|Mm108|chr6"	0.00	0.00
"CCDS28903.1|Mm108|chr17"	0.00	0.00
"CCDS50151.1|Mm108|chr17"	0.00	0.00
"CCDS27714.1|Mm108|chr15"	0.00	0.00
"CCDS20850.1|Mm108|chr7"	0.00	0.00
"CCDS48244.1|Mm108|chr1"	0.00	0.00
"CCDS29064.1|Mm108|chr18"	0.00	0.00
"CCDS15771.1|Mm108|chr2"	0.00	0.00
"CCDS24532.1|Mm108|chr11"	0.00	0.00
"CCDS56765.1|Mm108|chr11"	0.00	0.00
"CCDS29865.1|Mm108|chr19"	0.00	0.00
"CCDS27213.1|Mm108|chr14"	0.00	0.00
"CCDS88690.1|Mm108|chr14"	0.00	0.00
"CCDS18926.1|Mm108|chr4"	0.00	0.00
"CCDS15123.1|Mm108|chr1"	0.00	0.00
"CCDS17529.1|Mm108|chr3"	0.00	0.00
"CCDS27386.1|Mm108|chr15"	0.00	0.00
"CCDS88735.1|Mm108|chr15"	0.00	0.00
"CCDS88736.1|Mm108|chr15"	0.00	0.00
"CCDS27405.1|Mm108|chr15"	0.00	0.00
"CCDS88745.1|Mm108|chr15"	0.00	0.00
"CCDS25719.1|Mm108|chr11"	0.00	0.00
"CCDS22336.1|Mm108|chr8"	0.00	0.00
"CCDS57219.1|Mm108|chr3"	0.00	0.00
"CCDS59646.1|Mm108|chr3"	0.00	0.00
"CCDS22335.1|Mm108|chr8"	0.00	0.00
"CCDS29227.1|Mm108|chr18"	0.00	0.00
"CCDS28164.1|Mm108|chr16"	0.00	0.00
"CCDS15047.1|Mm108|chr1"	0.00	0.00
"CCDS37211.1|Mm108|chr15"	0.00	0.00
"CCDS49733.1|Mm108|chr15"	0.00	0.00
"CCDS29913.1|Mm108|chr19"	0.00	0.00
"CCDS29914.1|Mm108|chr19"	0.00	0.00
"CCDS38570.1|Mm108|chr3"	0.00	0.00
"CCDS19968.1|Mm108|chr6"	0.00	0.00
"CCDS51739.1|Mm108|chr6"	0.00	0.00
"CCDS51740.1|Mm108|chr6"	0.00	0.00
"CCDS51741.1|Mm108|chr6"	0.00	0.00
"CCDS51742.1|Mm108|chr6"	0.00	0.00
"CCDS26954.1|Mm108|chr14"	0.00	0.00
"CCDS49450.1|Mm108|chr14"	0.00	0.00
"CCDS27113.1|Mm108|chr14"	0.00	0.00
"CCDS22790.1|Mm108|chr8"	0.00	0.00
"CCDS14995.1|Mm108|chr1"	0.00	0.00
"CCDS35589.1|Mm108|chr1"	0.00	0.00
"CCDS35590.1|Mm108|chr1"	0.00	0.00
"CCDS35591.1|Mm108|chr1"	0.00	0.00
"CCDS35592.1|Mm108|chr1"	0.00	0.00
"CCDS35593.1|Mm108|chr1"	0.00	0.00
"CCDS28913.1|Mm108|chr17"	0.00	0.00
"CCDS57112.1|Mm108|chr17"	0.00	0.00
"CCDS57113.1|Mm108|chr17"	0.00	0.00
"CCDS84338.1|Mm108|chr17"	0.00	0.00
"CCDS84339.1|Mm108|chr17"	0.00	0.00
"CCDS84340.1|Mm108|chr17"	0.00	0.00
"CCDS84341.1|Mm108|chr17"	0.00	0.00
"CCDS84342.1|Mm108|chr17"	0.00	0.00
"CCDS57132.1|Mm108|chr19"	0.00	0.00
"CCDS57133.1|Mm108|chr19"	0.00	0.00
"CCDS89326.1|Mm108|chr19"	0.00	0.00
"CCDS89327.1|Mm108|chr19"	0.00	0.00
"CCDS49134.1|Mm108|chr12"	0.00	0.00
"CCDS56856.1|Mm108|chr12"	0.00	0.00
"CCDS79143.1|Mm108|chr12"	0.00	0.00
"CCDS36673.1|Mm108|chr13"	17.00	1.00
"CCDS30190.1|Mm108|chrX"	0.00	0.00
"CCDS25524.1|Mm108|chr11"	0.00	0.00
"CCDS19251.1|Mm108|chr5"	0.00	0.00
"CCDS24516.1|Mm108|chr11"	0.00	0.00
"CCDS88140.1|Mm108|chr11"	0.00	0.00
"CCDS18210.1|Mm108|chr4"	0.00	0.00
"CCDS18211.1|Mm108|chr4"	0.00	0.00
"CCDS38770.1|Mm108|chr4"	0.00	0.00
"CCDS51182.1|Mm108|chr4"	0.00	0.00
"CCDS17952.1|Mm108|chr4"	0.00	0.00
"CCDS27969.1|Mm108|chr16"	0.00	0.00
"CCDS88878.1|Mm108|chr16"	0.00	0.00
"CCDS20553.1|Mm108|chr6"	0.00	0.00
"CCDS51914.1|Mm108|chr6"	0.00	0.00
"CCDS28487.1|Mm108|chr17"	0.00	0.00
"CCDS24864.1|Mm108|chr11"	0.00	0.00
"CCDS28478.1|Mm108|chr17"	0.00	0.00
"CCDS50947.1|Mm108|chr3"	0.00	0.00
"CCDS26573.1|Mm108|chr13"	0.00	0.00
"CCDS36685.1|Mm108|chr13"	0.00	0.00
"CCDS21371.1|Mm108|chr7"	0.00	0.00
"CCDS21372.1|Mm108|chr7"	0.00	0.00
"CCDS48436.1|Mm108|chr1"	0.00	0.00
"CCDS17177.1|Mm108|chr2"	0.00	0.00
"CCDS36407.1|Mm108|chr12"	0.00	0.00
"CCDS88315.1|Mm108|chr12"	0.00	0.00
"CCDS22024.1|Mm108|chr7"	0.00	0.00
"CCDS52247.1|Mm108|chr7"	0.00	0.00
"CCDS85300.1|Mm108|chr7"	0.00	0.00
"CCDS18750.1|Mm108|chr4"	0.00	0.00
"CCDS26032.1|Mm108|chr12"	0.00	0.00
"CCDS49108.1|Mm108|chr12"	0.00	0.00
"CCDS70400.1|Mm108|chr12"	0.00	0.00
"CCDS70401.1|Mm108|chr12"	0.00	0.00
"CCDS21016.1|Mm108|chr7"	0.00	0.00
"CCDS21216.1|Mm108|chr7"	3.00	0.00
"CCDS16043.1|Mm108|chr2"	0.00	0.00
"CCDS25064.1|Mm108|chr11"	0.00	0.00
"CCDS39426.1|Mm108|chr6"	0.00	0.00
"CCDS15729.1|Mm108|chr2"	0.00	0.00
"CCDS30476.1|Mm108|chrX"	0.00	0.00
"CCDS21923.1|Mm108|chr7"	0.00	0.00
"CCDS56736.1|Mm108|chr10"	0.00	0.00
"CCDS57683.1|Mm108|chr9"	0.00	0.00
"CCDS30251.1|Mm108|chrX"	0.00	0.00
"CCDS27508.1|Mm108|chr15"	0.00	0.00
"CCDS84171.1|Mm108|chr15"	0.00	0.00
"CCDS26731.1|Mm108|chr13"	0.00	0.00
"CCDS51693.1|Mm108|chr5"	0.00	0.00
"CCDS25829.1|Mm108|chr12"	0.00	0.00
"CCDS49596.1|Mm108|chr15"	0.00	0.00
"CCDS15861.1|Mm108|chr2"	0.00	0.00
"CCDS50554.1|Mm108|chr2"	0.00	0.00
"CCDS50555.1|Mm108|chr2"	0.00	0.00
"CCDS50556.1|Mm108|chr2"	0.00	0.00
"CCDS50557.1|Mm108|chr2"	0.00	0.00
"CCDS89461.1|Mm108|chr2"	0.00	0.00
"CCDS89462.1|Mm108|chr2"	0.00	0.00
"CCDS20093.1|Mm108|chr6"	0.00	0.00
"CCDS25107.1|Mm108|chr11"	0.00	0.00
"CCDS36106.1|Mm108|chr11"	0.00	0.00
"CCDS56758.1|Mm108|chr11"	0.00	0.00
"CCDS56759.1|Mm108|chr11"	0.00	0.00
"CCDS20414.1|Mm108|chr6"	0.00	0.00
"CCDS26505.1|Mm108|chr13"	0.00	0.00
"CCDS36802.1|Mm108|chr14"	0.00	0.00
"CCDS21121.1|Mm108|chr7"	0.00	0.00
"CCDS71935.1|Mm108|chr7"	0.00	0.00
"CCDS23865.1|Mm108|chr10"	0.00	0.00
"CCDS24605.1|Mm108|chr11"	0.00	0.00
"CCDS20089.1|Mm108|chr6"	0.00	0.00
"CCDS27910.1|Mm108|chr16"	0.00	0.00
"CCDS15521.1|Mm108|chr1"	0.00	0.00
"CCDS57578.1|Mm108|chr7"	0.00	0.00
"CCDS40542.1|Mm108|chr9"	0.00	0.00
"CCDS27987.1|Mm108|chr16"	0.00	0.00
"CCDS21683.1|Mm108|chr7"	0.00	0.00
"CCDS36221.1|Mm108|chr11"	0.00	0.00
"CCDS22846.1|Mm108|chr9"	0.00	0.00
"CCDS23004.1|Mm108|chr9"	0.00	0.00
"CCDS23030.1|Mm108|chr9"	0.00	0.00
"CCDS15982.1|Mm108|chr2"	0.00	0.00
"CCDS24732.1|Mm108|chr11"	0.00	0.00
"CCDS26826.1|Mm108|chr14"	0.00	0.00
"CCDS16407.1|Mm108|chr2"	0.00	0.00
"CCDS21544.1|Mm108|chr7"	0.00	0.00
"CCDS26268.1|Mm108|chr13"	0.00	0.00
"CCDS23048.1|Mm108|chr9"	0.00	0.00
"CCDS21983.1|Mm108|chr7"	0.00	0.00
"CCDS21981.1|Mm108|chr7"	0.00	0.00
"CCDS20092.1|Mm108|chr6"	0.00	0.00
"CCDS16395.1|Mm108|chr2"	0.00	0.00
"CCDS27085.1|Mm108|chr14"	0.00	0.00
"CCDS57479.1|Mm108|chr7"	0.00	0.00
"CCDS15981.1|Mm108|chr2"	0.00	0.00
"CCDS24646.1|Mm108|chr11"	0.00	0.00
"CCDS16243.1|Mm108|chr2"	0.00	0.00
"CCDS24647.1|Mm108|chr11"	0.00	0.00
"CCDS24597.2|Mm108|chr11"	0.00	0.00
"CCDS23975.1|Mm108|chr10"	0.00	0.00
"CCDS22863.1|Mm108|chr9"	0.00	0.00
"CCDS25029.1|Mm108|chr11"	0.00	0.00
"CCDS21973.1|Mm108|chr7"	0.00	0.00
"CCDS52435.1|Mm108|chr7"	0.00	0.00
"CCDS18556.1|Mm108|chr4"	0.00	0.00
"CCDS21596.1|Mm108|chr7"	0.00	0.00
"CCDS40062.1|Mm108|chr7"	0.00	0.00
"CCDS21594.1|Mm108|chr7"	0.00	0.00
"CCDS40059.1|Mm108|chr7"	0.00	0.00
"CCDS21591.1|Mm108|chr7"	0.00	0.00
"CCDS21590.1|Mm108|chr7"	0.00	0.00
"CCDS23971.1|Mm108|chr10"	0.00	0.00
"CCDS24302.1|Mm108|chr10"	0.00	0.00
"CCDS25120.2|Mm108|chr11"	0.00	0.00
"CCDS21466.1|Mm108|chr7"	0.00	0.00
"CCDS52867.1|Mm108|chr9"	0.00	0.00
"CCDS52868.1|Mm108|chr9"	0.00	0.00
"CCDS27468.1|Mm108|chr15"	0.00	0.00
"CCDS18718.1|Mm108|chr4"	0.00	0.00
"CCDS14809.1|Mm108|chr1"	0.00	0.00
"CCDS87811.1|Mm108|chr1"	0.00	0.00
"CCDS17222.1|Mm108|chr2"	0.00	0.00
"CCDS84606.1|Mm108|chr2"	0.00	0.00
"CCDS89611.1|Mm108|chr2"	0.00	0.00
"CCDS56687.1|Mm108|chr10"	0.00	0.00
"CCDS78783.1|Mm108|chr10"	0.00	0.00
"CCDS78784.1|Mm108|chr10"	0.00	0.00
"CCDS78785.1|Mm108|chr10"	0.00	0.00
"CCDS78787.1|Mm108|chr10"	0.00	0.00
"CCDS78788.1|Mm108|chr10"	0.00	0.00
"CCDS83672.1|Mm108|chr10"	0.00	0.00
"CCDS83673.1|Mm108|chr10"	0.00	0.00
"CCDS83674.1|Mm108|chr10"	0.00	0.00
"CCDS18070.1|Mm108|chr4"	0.00	0.00
"CCDS71362.1|Mm108|chr4"	0.00	0.00
"CCDS18453.1|Mm108|chr4"	0.00	0.00
"CCDS14974.1|Mm108|chr1"	0.00	0.00
"CCDS14975.1|Mm108|chr1"	0.00	0.00
"CCDS29538.1|Mm108|chr19"	0.00	0.00
"CCDS22041.1|Mm108|chr7"	0.00	0.00
"CCDS18251.1|Mm108|chr4"	0.00	0.00
"CCDS18253.1|Mm108|chr4"	0.00	0.00
"CCDS18252.1|Mm108|chr4"	0.00	0.00
"CCDS22175.1|Mm108|chr8"	0.00	0.00
"CCDS24629.1|Mm108|chr11"	101.00	0.00
"CCDS70176.1|Mm108|chr11"	0.00	0.00
"CCDS24382.1|Mm108|chr11"	0.00	0.00
"CCDS27368.1|Mm108|chr15"	0.00	0.00
"CCDS79358.1|Mm108|chr15"	0.00	0.00
"CCDS17327.1|Mm108|chr3"	0.00	0.00
"CCDS30015.1|Mm108|chrX"	0.00	0.00
"CCDS17290.1|Mm108|chr3"	0.00	0.00
"CCDS52251.1|Mm108|chr7"	0.00	0.00
"CCDS26695.1|Mm108|chr13"	0.00	0.00
"CCDS41167.1|Mm108|chrX"	0.00	0.00
"CCDS24468.1|Mm108|chr11"	0.00	1.00
"CCDS49473.1|Mm108|chr14"	0.00	0.00
"CCDS70575.1|Mm108|chr14"	0.00	0.00
"CCDS29469.1|Mm108|chr19"	0.00	0.00
"CCDS16745.1|Mm108|chr2"	0.00	0.00
"CCDS39588.1|Mm108|chr6"	0.00	0.00
"CCDS21319.1|Mm108|chr7"	0.00	0.00
"CCDS24986.1|Mm108|chr11"	0.00	0.00
"CCDS24992.1|Mm108|chr11"	0.00	0.00
"CCDS19654.2|Mm108|chr5"	0.00	0.00
"CCDS80392.1|Mm108|chr5"	0.00	0.00
"CCDS80393.1|Mm108|chr5"	0.00	0.00
"CCDS19651.1|Mm108|chr5"	0.00	0.00
"CCDS19652.1|Mm108|chr5"	0.00	0.00
"CCDS19653.1|Mm108|chr5"	0.00	0.00
"CCDS51644.1|Mm108|chr5"	0.00	0.00
"CCDS89983.1|Mm108|chr5"	0.00	0.00
"CCDS28007.2|Mm108|chr16"	0.00	0.00
"CCDS49778.1|Mm108|chr16"	0.00	0.00
"CCDS17377.1|Mm108|chr3"	0.00	0.00
"CCDS21508.1|Mm108|chr7"	0.00	0.00
"CCDS23863.1|Mm108|chr10"	0.00	0.00
"CCDS83698.1|Mm108|chr10"	0.00	0.00
"CCDS83699.1|Mm108|chr10"	0.00	0.00
"CCDS24691.1|Mm108|chr11"	0.00	0.00
"CCDS48797.1|Mm108|chr11"	0.00	0.00
"CCDS25742.1|Mm108|chr11"	0.00	0.00
"CCDS16668.1|Mm108|chr2"	0.00	0.00
"CCDS27431.1|Mm108|chr15"	0.00	0.00
"CCDS29206.1|Mm108|chr18"	0.00	0.00
"CCDS25035.1|Mm108|chr11"	0.00	0.00
"CCDS23139.1|Mm108|chr9"	0.00	0.00
"CCDS20979.1|Mm108|chr7"	0.00	0.00
"CCDS18515.1|Mm108|chr4"	0.00	0.00
"CCDS24102.1|Mm108|chr10"	0.00	0.00
"CCDS21464.1|Mm108|chr7"	0.00	0.00
"CCDS30454.1|Mm108|chrX"	0.00	0.00
"CCDS57779.1|Mm108|chrX"	0.00	0.00
"CCDS23991.1|Mm108|chr10"	0.00	0.00
"CCDS48621.1|Mm108|chr10"	0.00	0.00
"CCDS48331.1|Mm108|chr1"	0.00	0.00
"CCDS87863.1|Mm108|chr1"	0.00	0.00
"CCDS39581.1|Mm108|chr6"	0.00	0.00
"CCDS20253.1|Mm108|chr6"	0.00	0.00
"CCDS18267.1|Mm108|chr4"	0.00	0.00
"CCDS16835.2|Mm108|chr2"	0.00	0.00
"CCDS37998.2|Mm108|chr19"	0.00	0.00
"CCDS89397.1|Mm108|chr19"	0.00	0.00
"CCDS15082.1|Mm108|chr1"	0.00	0.00
"CCDS48294.1|Mm108|chr1"	0.00	0.00
"CCDS39447.1|Mm108|chr6"	0.00	0.00
"CCDS51731.1|Mm108|chr6"	0.00	0.00
"CCDS51732.1|Mm108|chr6"	0.00	0.00
"CCDS18125.1|Mm108|chr4"	0.00	0.00
"CCDS16499.1|Mm108|chr2"	0.00	0.00
"CCDS57181.1|Mm108|chr2"	0.00	0.00
"CCDS18850.1|Mm108|chr4"	0.00	0.00
"CCDS15738.1|Mm108|chr2"	0.00	0.00
"CCDS25924.1|Mm108|chr12"	0.00	0.00
"CCDS15461.1|Mm108|chr1"	0.00	0.00
"CCDS15462.1|Mm108|chr1"	0.00	0.00
"CCDS78739.1|Mm108|chr1"	0.00	0.00
"CCDS28648.1|Mm108|chr17"	0.00	0.00
"CCDS15947.1|Mm108|chr2"	0.00	0.00
"CCDS71033.1|Mm108|chr2"	0.00	0.00
"CCDS30302.1|Mm108|chrX"	0.00	0.00
"CCDS28880.1|Mm108|chr17"	0.00	0.00
"CCDS27884.1|Mm108|chr15"	0.00	0.00
"CCDS49741.1|Mm108|chr15"	0.00	0.00
"CCDS49742.1|Mm108|chr15"	0.00	0.00
"CCDS88856.1|Mm108|chr15"	0.00	0.00
"CCDS88857.1|Mm108|chr15"	0.00	0.00
"CCDS50901.1|Mm108|chr3"	0.00	0.00
"CCDS50902.1|Mm108|chr3"	0.00	0.00
"CCDS50903.1|Mm108|chr3"	0.00	0.00
"CCDS79902.1|Mm108|chr3"	0.00	0.00
"CCDS27303.1|Mm108|chr14"	0.00	0.00
"CCDS79349.1|Mm108|chr14"	0.00	0.00
"CCDS17141.1|Mm108|chr2"	0.00	0.00
"CCDS22261.1|Mm108|chr8"	0.00	0.00
"CCDS23687.2|Mm108|chr10"	0.00	0.00
"CCDS83677.1|Mm108|chr10"	0.00	0.00
"CCDS16771.1|Mm108|chr2"	0.00	0.00
"CCDS23944.1|Mm108|chr10"	0.00	0.00
"CCDS88027.1|Mm108|chr10"	0.00	0.00
"CCDS39334.1|Mm108|chr5"	0.00	0.00
"CCDS22066.1|Mm108|chr8"	0.00	0.00
"CCDS52470.1|Mm108|chr8"	0.00	0.00
"CCDS52471.1|Mm108|chr8"	0.00	0.00
"CCDS37414.1|Mm108|chr16"	0.00	2.00
"CCDS26649.1|Mm108|chr13"	0.00	0.00
"CCDS16810.1|Mm108|chr2"	0.00	0.00
"CCDS21397.1|Mm108|chr7"	0.00	0.00
"CCDS24018.1|Mm108|chr10"	0.00	0.00
"CCDS50401.1|Mm108|chr19"	0.00	0.00
"CCDS50402.1|Mm108|chr19"	0.00	0.00
"CCDS52267.1|Mm108|chr7"	0.00	0.00
"CCDS71978.1|Mm108|chr7"	0.00	0.00
"CCDS40609.1|Mm108|chr9"	0.00	0.00
"CCDS30045.1|Mm108|chrX"	0.00	0.00
"CCDS81103.1|Mm108|chrX"	0.00	0.00
"CCDS15281.1|Mm108|chr1"	0.00	0.00
"CCDS25238.1|Mm108|chr11"	0.00	0.00
"CCDS29430.1|Mm108|chr19"	0.00	0.00
"CCDS50352.1|Mm108|chr19"	0.00	0.00
"CCDS15200.1|Mm108|chr1"	0.00	0.00
"CCDS28413.1|Mm108|chr17"	0.00	0.00
"CCDS29903.1|Mm108|chr19"	0.00	0.00
"CCDS26642.1|Mm108|chr13"	0.00	0.00
"CCDS88484.1|Mm108|chr13"	0.00	0.00
"CCDS23588.1|Mm108|chr9"	0.00	0.00
"CCDS52947.1|Mm108|chr9"	0.00	0.00
"CCDS29888.1|Mm108|chr19"	0.00	0.00
"CCDS16172.1|Mm108|chr2"	0.00	0.00
"CCDS16173.1|Mm108|chr2"	0.00	0.00
"CCDS16174.1|Mm108|chr2"	0.00	0.00
"CCDS89501.1|Mm108|chr2"	0.00	0.00
"CCDS27904.1|Mm108|chr15"	0.00	0.00
"CCDS88861.1|Mm108|chr15"	0.00	0.00
"CCDS20170.1|Mm108|chr6"	0.00	0.00
"CCDS51783.1|Mm108|chr6"	0.00	0.00
"CCDS51784.1|Mm108|chr6"	0.00	0.00
"CCDS51785.1|Mm108|chr6"	0.00	0.00
"CCDS51786.1|Mm108|chr6"	0.00	0.00
"CCDS51787.1|Mm108|chr6"	0.00	0.00
"CCDS21760.1|Mm108|chr7"	0.00	0.00
"CCDS22895.1|Mm108|chr9"	0.00	0.00
"CCDS22896.1|Mm108|chr9"	0.00	0.00
"CCDS80964.1|Mm108|chr9"	0.00	0.00
"CCDS18403.1|Mm108|chr4"	0.00	0.00
"CCDS51243.1|Mm108|chr4"	0.00	0.00
"CCDS51244.1|Mm108|chr4"	0.00	0.00
"CCDS51245.1|Mm108|chr4"	0.00	0.00
"CCDS57289.1|Mm108|chr4"	0.00	0.00
"CCDS89787.1|Mm108|chr4"	0.00	0.00
"CCDS15121.1|Mm108|chr1"	0.00	0.00
"CCDS38398.1|Mm108|chr3"	0.00	0.00
"CCDS50871.1|Mm108|chr3"	0.00	0.00
"CCDS40005.1|Mm108|chr7"	0.00	0.00
"CCDS28605.1|Mm108|chr17"	0.00	0.00
"CCDS19510.1|Mm108|chr5"	0.00	0.00
"CCDS36389.1|Mm108|chr11"	0.00	0.00
"CCDS19802.1|Mm108|chr5"	0.00	0.00
"CCDS90003.1|Mm108|chr5"	0.00	0.00
"CCDS27656.1|Mm108|chr15"	0.00	0.00
"CCDS19351.1|Mm108|chr5"	0.00	0.00
"CCDS89929.1|Mm108|chr5"	0.00	0.00
"CCDS50300.1|Mm108|chr18"	0.00	0.00
"CCDS41195.1|Mm108|chrX"	0.00	0.00
"CCDS17872.1|Mm108|chr3"	0.00	0.00
"CCDS18856.1|Mm108|chr4"	0.00	0.00
